city,current_ts,country,current_pollution_aqicn,current_pollution_aqius,current_pollution_maincn,current_pollution_mainus,current_weather_hu,current_weather_ic,current_weather_pr,current_weather_tp,current_weather_wd,current_weather_ws,latitude,longitude,state
Brandywine,2024-03-02 06:00:00,USA,0,1,p2,p2,93,10n,1029,4,80,2.06,-76.84473,38.696229,Maryland
Canton,2024-03-01 10:00:00,USA,23,30,o3,o3,72,01n,1034,-6,220,1.1,-76.9392,41.6447,Pennsylvania
Casas Adobes,2024-03-02 07:00:00,USA,9,25,p2,p2,49,04n,1016,14,0,0.0,-111.037709,32.322573,Arizona
Placid Lakes,2024-03-01 16:00:00,USA,9,27,p2,p2,76,04d,1023,24,134,2.68,-81.40702,27.24144,Florida
North Browning,2024-03-01 11:00:00,USA,2,6,p2,p2,75,01n,1003,-3,228,5.02,-113.00953,48.57025,Montana
North Browning,2024-03-02 07:00:00,USA,18,51,p2,p2,65,04n,1003,-5,196,0.84,-113.00953,48.57025,Montana
Saint Peter,2024-03-01 11:00:00,USA,7,20,p2,p2,44,01n,1011,2,180,6.17,-93.95801,44.32358,Minnesota
Fort Myers,2024-03-02 05:00:00,USA,10,29,p2,p2,91,01n,1021,20,100,1.54,-81.8789,26.6028,Florida
Gretna,2024-03-02 09:00:00,USA,38,82,p2,p2,88,01n,1013,1,172,3.57,-96.23974,41.14083,Nebraska
Palm Beach,2024-03-02 05:00:00,USA,29,68,p2,p2,84,03n,1022,22,162,7.15,-80.03643,26.70562,Florida
Verdi,2024-03-01 17:00:00,USA,5,14,p2,p2,84,10d,1008,1,203,5.36,-119.98881,39.51824,Nevada
Hackensack,2024-03-02 06:00:00,USA,7,19,p2,p2,76,04n,1033,4,170,4.12,-74.04347,40.88593,New Jersey
Shepherdstown,2024-03-01 16:00:00,USA,7,21,p2,p2,42,01d,1031,7,0,2.57,-77.84387,39.38253,West Virginia
Braddock Hills,2024-03-02 06:00:00,USA,11,33,p2,p2,91,10n,1022,5,47,0.89,-79.86505,40.41729,Pennsylvania
Highland Heights,2024-03-01 17:00:00,USA,6,18,p2,p2,59,10d,1024,4,160,2.57,-84.45189,39.03312,Kentucky
Proctor,2024-03-02 08:00:00,USA,15,44,p2,p2,81,01n,1008,1,220,4.12,-92.22547,46.74716,Minnesota
Littlestown,2024-03-01 11:00:00,USA,10,29,p2,p2,58,01n,1034,-1,0,0.0,-77.08804,39.74454,Pennsylvania
Greenville,2024-03-01 17:00:00,USA,12,31,p1,p2,91,10d,1030,3,40,6.17,-82.414597,34.843899,South Carolina
Bar Harbor,2024-03-02 06:00:00,USA,26,33,o3,o3,78,01n,1038,0,245,4.92,-68.260902,44.377048,Maine
Kings Park,2024-03-02 08:00:00,USA,3,9,p2,p2,86,04n,1032,4,150,2.57,-73.25734,40.88621,New York
Peoria,2024-03-01 16:00:00,USA,6,16,p2,p2,50,01d,1020,16,90,2.57,-112.23738,33.5806,Arizona
Sugar Land,2024-03-02 08:00:00,USA,16,47,p2,p2,89,04n,1017,12,0,0.0,-95.63495,29.61968,Texas
Deerfield,2024-03-01 10:00:00,USA,10,29,p2,p2,60,01n,1020,0,203,1.79,-89.07567,43.05194,Wisconsin
