city,current_ts,country,current_pollution_aqicn,current_pollution_aqius,current_pollution_maincn,current_pollution_mainus,current_weather_hu,current_weather_ic,current_weather_pr,current_weather_tp,current_weather_wd,current_weather_ws,latitude,longitude,state
Palm Harbor,2024-03-04 12:00:00,USA,14,25,o3,p2,93,04d,1018,18,123,3.13,-82.7008,28.0903,Florida
Groton,2024-03-04 14:00:00,USA,5,13,p2,p2,90,04d,1030,9,50,5.14,-72.0789,41.3536,Connecticut
Jeffersontown,2024-03-05 10:00:00,USA,1,4,p2,p2,78,03n,1012,15,180,4.63,-85.5644,38.19424,Kentucky
Bernalillo,2024-03-04 12:00:00,USA,16,31,o3,p2,52,01n,1007,5,307,1.79,-106.5483,35.2994,New Mexico
Bernalillo,2024-03-05 11:00:00,USA,12,35,p2,p2,47,03n,1014,4,259,1.34,-106.5483,35.2994,New Mexico
Glen Burnie,2024-03-04 12:00:00,USA,14,40,p2,p2,87,04d,1026,9,120,1.54,-76.6281,39.1694,Maryland
Channelview,2024-03-04 13:00:00,USA,12,35,p2,p2,83,04d,1012,20,149,2.17,-95.1256,29.8025,Texas
New Haven,2024-03-04 11:00:00,USA,8,12,p1,p2,88,03n,1025,6,20,3.09,-72.9028,41.3011,Connecticut
Caldwell,2024-03-04 12:00:00,USA,2,6,p2,p2,94,13n,1011,-1,110,2.57,-116.68736,43.66294,Idaho
Parkville,2024-03-05 10:00:00,USA,3,8,p2,p2,94,10n,1016,7,360,3.6,-76.53969,39.37733,Maryland
Trussville,2024-03-04 12:00:00,USA,14,40,p2,p2,97,04d,1020,15,70,3.09,-86.60888,33.61983,Alabama
Trussville,2024-03-05 10:00:00,USA,13,37,p2,p2,92,04n,1015,16,110,2.06,-86.60888,33.61983,Alabama
Lafayette,2024-03-04 10:00:00,USA,4,11,p2,p2,60,02n,1009,-1,160,3.6,-105.08971,39.9936,Colorado
Loretto,2024-03-04 12:00:00,USA,16,45,p2,p2,98,01d,1019,13,101,0.89,-87.47,35.1158,Tennessee
Central City,2024-03-05 11:00:00,USA,8,23,p2,p2,89,04n,1015,3,19,4.92,-91.52406,42.20388,Iowa
Lemont,2024-03-04 12:00:00,USA,15,43,p2,p2,86,01n,1014,10,150,3.6,-87.9906,41.6681,Illinois
Lemont,2024-03-05 12:00:00,USA,5,15,p2,p2,89,10d,1014,4,30,10.8,-87.9906,41.6681,Illinois
Munhall,2024-03-05 09:00:00,USA,2,5,p2,p2,80,01n,1018,10,160,4.63,-79.90005,40.39229,Pennsylvania
Pawtucket,2024-03-04 11:00:00,USA,21,56,p2,p2,95,01d,1028,6,90,3.09,-71.38256,41.87871,Rhode Island
Buckeye,2024-03-04 12:00:00,USA,35,49,p1,p2,63,04n,1014,11,110,3.6,-112.6207,33.37,Arizona
Iowa City,2024-03-04 13:00:00,USA,8,22,p2,p2,65,04d,1010,8,40,2.57,-91.503471,41.658195,Iowa
Butte,2024-03-05 10:00:00,USA,10,15,p1,p2,62,03n,1009,-10,170,1.54,-112.500893,46.002399,Montana
Manchester,2024-03-04 13:00:00,USA,19,54,p2,p2,74,04d,1015,8,197,1.34,-84.03772,42.15032,Michigan
Greatwood,2024-03-04 11:00:00,USA,10,28,p2,p2,96,50n,1010,20,150,2.06,-95.67578,29.55413,Texas
Hope,2024-03-05 11:00:00,USA,1,3,p2,p2,86,01n,1011,-3,210,2.06,-116.30712,48.24771,Idaho
Saint Charles,2024-03-05 08:00:00,USA,9,27,p2,p2,93,11n,1009,5,50,5.14,-88.30869,41.91419,Illinois
Asheville,2024-03-05 13:00:00,USA,12,34,p2,p2,90,01d,1019,10,150,1.54,-82.5833,35.6075,North Carolina
Harrisonville,2024-03-04 10:00:00,USA,18,53,p2,p2,82,01n,1008,14,170,3.09,-94.34884,38.65334,Missouri
Dayton,2024-03-05 09:00:00,USA,4,12,p2,p2,73,04n,1016,1,217,3.99,-119.59295,39.23714,Nevada
Cheboygan,2024-03-05 09:00:00,USA,1,3,p2,p2,96,13n,1015,2,320,5.66,-84.47448,45.64696,Michigan
Grangeville,2024-03-05 11:00:00,USA,20,55,p2,p2,89,13n,1008,-3,10,2.57,-116.115196,45.931301,Idaho
Jeffersonville,2024-03-04 10:00:00,USA,11,31,p2,p2,92,04n,1017,13,170,3.6,-85.73718,38.27757,Indiana
West Orange,2024-03-05 09:00:00,USA,11,30,p2,p2,87,04n,1024,5,80,4.63,-74.23904,40.79871,New Jersey
Hartford,2024-03-05 09:00:00,USA,10,29,p2,p2,86,04n,1008,17,0,0.0,-90.09594,38.83338,Illinois
Blair,2024-03-04 10:00:00,USA,7,21,p2,p2,56,04n,1009,6,10,5.14,-96.12502,41.54444,Nebraska
Las Cruces,2024-03-04 11:00:00,USA,7,13,o3,p2,49,01n,1013,9,270,5.14,-106.7669,32.3169,New Mexico
Conway,2024-03-07 08:00:00,USA,4,11,p2,p2,90,04n,1009,16,280,3.09,-78.9941,33.8005,South Carolina
Deer Park,2024-03-07 10:00:00,USA,10,28,p2,p2,95,03n,1009,17,110,3.09,-95.128508,29.670025,Texas
Gilford,2024-03-07 10:00:00,USA,1,3,p2,p2,90,10n,1010,4,96,3.58,-71.349958,43.555987,New Hampshire
Silver City,2024-03-07 10:00:00,USA,2,6,p2,p2,48,01n,1008,6,300,4.02,-108.28033,32.77007,New Mexico
Holden,2024-03-07 10:00:00,USA,0,0,p2,p2,98,10n,1008,4,30,6.69,-71.86341,42.35176,Massachusetts
Clinton,2024-03-07 10:00:00,USA,3,10,p2,p2,69,01n,1018,2,100,4.12,-90.177498,41.875,Iowa
Midlothian,2024-03-07 09:00:00,USA,4,11,p2,p2,80,04n,1008,17,180,9.81,-97.026922,32.482081,Texas
Peck,2024-03-07 09:00:00,USA,32,55,p1,p2,85,02n,1007,8,80,4.12,-97.3664,37.4769,Kansas
Slater,2024-03-07 10:00:00,USA,7,19,p2,p2,78,02n,1016,4,140,3.6,-93.67855,41.87776,Iowa
West Lafayette,2024-03-07 11:00:00,USA,6,18,p2,p2,84,04n,1017,6,90,6.17,-86.90807,40.42587,Indiana
Lakeville,2024-03-07 10:00:00,USA,6,17,p2,p2,50,04n,1015,5,150,3.09,-93.285803,44.706123,Minnesota
Cumberland,2024-03-07 09:00:00,USA,1,2,p2,p2,98,04n,1014,10,344,1.33,-82.9885,36.97815,Kentucky
Dalton Gardens,2024-03-07 09:00:00,USA,16,48,p2,p2,90,01n,1018,-7,0,0.0,-116.77019,47.72963,Idaho
Hanahan,2024-03-07 10:00:00,USA,6,16,p2,p2,95,04n,1011,14,117,0.45,-80.02203,32.91851,South Carolina
Hartsville,2024-03-07 09:00:00,USA,13,39,p2,p2,99,04n,1015,12,29,1.47,-86.16721,36.39088,Tennessee
Mountain Brook,2024-03-07 10:00:00,USA,7,20,p2,p2,96,01n,1015,9,53,0.45,-86.75221,33.50094,Alabama
Helena,2024-03-07 10:00:00,USA,6,18,p2,p2,72,01n,1026,-7,250,1.79,-112.0131,46.6588,Montana
Temecula,2024-03-07 10:00:00,USA,0,1,p2,p2,96,04n,1010,8,86,0.89,-117.1325048,33.5017981,California
East Wenatchee,2024-03-07 09:00:00,USA,2,6,p2,p2,62,01n,1017,0,310,3.09,-120.29313,47.41568,Washington
Jackson,2024-03-07 10:00:00,USA,10,29,p2,p2,97,50n,1013,14,100,2.06,-90.182722,32.329111,Mississippi
Fairfax,2024-03-07 11:00:00,USA,7,20,p2,p2,93,04n,1010,10,300,3.09,-77.30637,38.84622,Virginia
Doylestown,2024-03-07 10:00:00,USA,1,2,p2,p2,89,04n,1006,10,300,2.06,-75.125,40.253,Pennsylvania
Fountain Inn,2024-03-07 10:00:00,USA,10,28,p2,p2,99,50n,1009,9,310,2.06,-82.19567,34.68901,South Carolina
Kearns,2024-03-07 10:00:00,USA,1,3,p2,p2,86,10n,1008,3,340,2.57,-111.99633,40.65995,Utah
Highlands Ranch,2024-03-07 10:00:00,USA,5,14,p2,p2,73,04n,1007,3,330,2.57,-104.96943,39.55388,Colorado
Newburgh,2024-03-07 10:00:00,USA,2,5,p2,p2,95,04n,1011,8,30,6.69,-74.0097,41.4994,New York
Wheaton,2024-03-07 10:00:00,USA,4,11,p2,p2,94,04n,1010,10,290,2.06,-77.05526,39.03983,Maryland
Mayflower,2024-03-07 10:00:00,USA,3,9,p2,p2,95,04n,1012,12,160,2.57,-92.4983,34.902516,Arkansas
Seabeck,2024-03-07 09:00:00,USA,4,12,p2,p2,93,01n,1020,0,0,0.0,-122.82849,47.63954,Washington
Mount Horeb,2024-03-07 10:00:00,USA,4,10,p2,p2,67,04n,1017,1,108,0.45,-89.73846,43.00861,Wisconsin
Watertown,2024-03-07 09:00:00,USA,16,41,p1,p2,86,04n,1017,-3,350,5.14,-97.128802,44.89965,South Dakota
Jasper,2024-03-07 10:00:00,USA,8,24,p2,p2,98,01n,1013,13,353,1.45,-82.7947,30.4264,Florida
Granite City,2024-03-07 08:00:00,USA,11,33,p2,p2,86,04n,1016,5,0,0.0,-90.1397,38.7045,Illinois
Hays,2024-03-07 09:00:00,USA,36,78,p2,p2,100,50n,1009,1,60,5.14,-99.32677,38.87918,Kansas
Accomac,2024-03-07 09:00:00,USA,3,8,p2,p2,96,50n,1008,10,310,4.63,-75.590755,37.761253,Virginia
Carrizo Springs,2024-03-07 10:00:00,USA,32,72,p2,p2,94,04n,1006,20,150,2.57,-99.86061,28.52193,Texas
Nikiski,2024-03-07 09:00:00,USA,8,24,p2,p2,94,04n,999,-3,10,1.54,-151.28889,60.69028,Alaska
Warwick,2024-03-07 10:00:00,USA,1,2,p2,p2,89,10n,1006,6,10,5.66,-71.41617,41.7001,Rhode Island
Powell,2024-03-07 10:00:00,USA,10,28,p2,p2,93,04n,1015,5,30,5.66,-83.07519,40.15784,Ohio
Albuquerque,2024-03-07 10:00:00,USA,21,19,p1,p1,31,04n,1010,6,340,2.57,-106.651901,35.0186,New Mexico
Port Orchard,2024-03-07 08:00:00,USA,16,48,p2,p2,89,03n,1020,1,0,0.0,-122.63625,47.54037,Washington
West Palm Beach,2024-03-07 10:00:00,USA,3,9,p2,p2,96,04n,1012,20,0,0.0,-80.05337,26.71534,Florida
Cottleville,2024-03-07 09:00:00,USA,6,18,p2,p2,91,50n,1015,4,95,1.34,-90.65401,38.74616,Missouri
Coal City,2024-03-07 10:00:00,USA,5,13,p2,p2,77,04n,1017,3,88,1.34,-88.28562,41.28781,Illinois
Idaho City,2024-03-07 10:00:00,USA,11,33,p2,p2,95,04n,1025,-6,51,2.68,-115.838557,43.823017,Idaho
Niobrara,2024-03-07 09:00:00,USA,6,17,p2,p2,85,04n,1016,0,2,4.26,-97.8541,42.8292,Nebraska
Twin Lakes,2024-03-07 09:00:00,USA,3,9,p2,p2,68,04n,1011,4,319,0.45,-105.0047,39.82499,Colorado
North Salt Lake,2024-03-07 09:00:00,USA,3,8,p2,p2,85,04n,1009,3,350,4.63,-111.901089,40.847496,Utah
Weslaco,2024-03-07 09:00:00,USA,20,54,p2,p2,91,04n,1009,23,150,4.63,-97.99084,26.15952,Texas
Coeur d'Alene,2024-03-07 09:00:00,USA,7,19,p2,p2,90,01n,1017,-7,0,0.0,-116.78047,47.67768,Idaho
Caldwell,2024-03-07 09:00:00,USA,24,61,p2,p2,93,04n,1016,-4,0,0.0,-116.68736,43.66294,Idaho
Milan,2024-03-07 10:00:00,USA,5,14,p2,p2,70,04n,1017,4,80,4.63,-90.57208,41.45309,Illinois
Buckeye,2024-03-07 10:00:00,USA,23,34,p1,p2,47,04n,1008,15,0,0.0,-112.6207,33.37,Arizona
Mill Creek,2024-03-07 11:00:00,USA,12,34,p2,p2,88,03n,1020,0,108,1.02,-122.2043,47.8601,Washington
Little Rock,2024-03-07 09:00:00,USA,12,33,p2,p2,93,04n,1013,12,90,1.54,-92.3283,34.6811,Arkansas
Kapaau,2024-03-07 17:00:00,USA,2,6,p2,p2,97,03d,1020,14,75,6.24,-155.784473,20.105431,Hawaii
LaGrange,2024-03-07 17:00:00,USA,6,17,p2,p2,52,01d,1016,20,0,0.0,-85.03133,33.03929,Georgia
Waikoloa,2024-03-07 17:00:00,USA,2,5,p2,p2,97,02d,1020,18,60,3.42,-155.78931,19.93942,Hawaii
Lane,2024-03-07 17:00:00,USA,0,0,p2,p2,92,03d,1022,1,111,1.06,-122.87655,43.94155,Oregon
Woodbine,2024-03-07 17:00:00,USA,3,7,p2,p2,51,02d,1015,22,6,0.62,-81.72416,30.96396,Georgia
Stokesdale,2024-03-07 17:00:00,USA,4,13,p2,p2,67,04d,1014,18,300,2.57,-79.97948,36.23708,North Carolina
Sevierville,2024-03-07 17:00:00,USA,21,27,o3,o3,77,04d,1021,11,30,2.06,-83.6089,35.6967,Tennessee
North Tonawanda,2024-03-07 17:00:00,USA,5,15,p2,p2,63,01d,1021,8,40,6.69,-78.8642,43.03867,New York
Ames,2024-03-07 17:00:00,USA,16,46,p2,p2,64,04d,1009,10,150,5.14,-93.61994,42.03471,Iowa
Watertown,2024-03-07 17:00:00,USA,10,17,p1,p2,68,01d,1019,-3,360,4.63,-97.128802,44.89965,South Dakota
Santa Clara,2024-03-07 17:00:00,USA,6,17,p2,p2,43,04d,1010,11,110,7.72,-113.65413,37.13304,Utah
Weirton,2024-03-07 17:00:00,USA,3,9,p2,p2,82,04d,1019,7,324,1.34,-80.580803,40.4231,West Virginia
Chandler,2024-03-07 17:00:00,USA,35,32,p1,p1,56,04d,1010,15,160,4.12,-111.8843,33.299,Arizona
Providence,2024-03-07 17:00:00,USA,1,2,p2,p2,95,50d,1024,7,30,10.8,-71.415,41.8081,Rhode Island
Seiling,2024-03-07 17:00:00,USA,23,43,p1,p2,35,04d,1004,21,206,8.55,-98.9353,36.1589,Oklahoma
Johnson,2024-03-07 17:00:00,USA,2,6,p2,p2,89,04d,1020,3,360,5.14,-72.6804,44.63561,Vermont
Leland,2024-03-07 17:00:00,USA,2,6,p2,p2,65,04d,1023,6,101,1.34,-85.75981,45.02305,Michigan
Barrington,2024-03-07 17:00:00,USA,3,10,p2,p2,89,50d,1011,6,30,10.8,-71.30866,41.74066,Rhode Island
Alderwood Manor,2024-03-07 17:00:00,USA,9,27,p2,p2,80,01d,1022,2,150,2.06,-122.28207,47.82204,Washington
Millington,2024-03-07 17:00:00,USA,16,21,o3,o3,74,04d,1014,14,347,6.47,-75.797203,39.305199,Maryland
Waterloo,2024-03-07 17:00:00,USA,13,36,p2,p2,62,01d,1016,9,170,4.12,-92.315804,42.5014,Iowa
Conway,2024-03-09 09:00:00,USA,5,15,p2,p2,91,03n,1015,13,70,5.14,-78.9941,33.8005,South Carolina
Watford City,2024-03-09 11:00:00,USA,3,7,p2,p2,100,02n,1019,-13,0,0.0,-103.28325,47.80224,North Dakota
Nome,2024-03-08 07:00:00,USA,4,11,p2,p2,78,01n,1009,-18,0,0.0,-165.40639,64.50111,Alaska
Challis,2024-03-09 16:00:00,USA,3,9,p2,p2,79,01d,1022,-6,0,0.0,-114.23173,44.50464,Idaho
Waynesburg,2024-03-09 16:00:00,USA,19,25,o3,o3,95,10d,1007,10,174,3.32,-80.2897,39.82,Pennsylvania
Pittsboro,2024-03-08 09:00:00,USA,2,5,p2,p2,85,04n,1021,11,0,0.0,-79.070324,35.65448,North Carolina
Southworth,2024-03-08 11:00:00,USA,10,27,p2,p2,77,04n,1023,3,150,3.09,-122.5018,47.51204,Washington
East Lansing,2024-03-08 08:00:00,USA,16,45,p2,p2,90,50n,1019,4,150,3.09,-84.480405,42.728936,Michigan
Tok,2024-03-09 10:00:00,USA,5,14,p2,p2,87,04n,996,-13,308,1.09,-142.98556,63.33667,Alaska
Lake City,2024-03-08 10:00:00,USA,18,27,o3,p2,94,04n,1016,15,90,2.06,-82.6192,30.1783,Florida
Sparta,2024-03-09 09:00:00,USA,19,53,p2,p2,98,10n,1015,6,132,3.58,-81.12092,36.50541,North Carolina
Koloa,2024-03-08 11:00:00,USA,3,8,p2,p2,83,04n,1024,20,60,8.75,-159.468366,21.894485,Hawaii
Keene,2024-03-08 09:00:00,USA,7,21,p2,p2,93,04n,1026,0,355,1.79,-72.277802,42.930599,New Hampshire
Charles Town,2024-03-08 07:00:00,USA,6,18,p2,p2,88,01n,1028,5,20,3.6,-77.85972,39.28899,West Virginia
Central,2024-03-09 08:00:00,USA,2,5,p2,p2,93,04n,1010,16,330,4.12,-91.03677,30.55435,Louisiana
Union,2024-03-08 10:00:00,USA,11,33,p2,p2,85,04n,1018,10,101,1.26,-81.62371,34.71541,South Carolina
Richmond,2024-03-08 07:00:00,USA,9,27,p2,p2,74,01n,1020,-7,140,1.54,-111.81356,41.92271,Utah
Lewes,2024-03-08 07:00:00,USA,3,10,p2,p2,84,01n,1021,8,330,1.34,-75.1667,38.7833,Delaware
Shrewsbury,2024-03-08 09:00:00,USA,0,1,p2,p2,78,01n,1022,3,310,2.57,-74.52932,40.18261,New Jersey
Morongo Valley,2024-03-08 11:00:00,USA,3,9,p2,p2,56,01n,1015,7,305,3.06,-116.58085,34.04695,California
Holden,2024-03-09 10:00:00,USA,2,7,p2,p2,89,04n,1025,-2,124,1.35,-71.86341,42.35176,Massachusetts
Whiting,2024-03-09 08:00:00,USA,5,15,p2,p2,93,50n,1010,3,340,6.69,-87.543836,41.696554,Indiana
Marietta,2024-03-09 08:00:00,USA,2,6,p2,p2,93,10n,1011,11,160,4.12,-81.460402,39.432093,Ohio
Bear,2024-03-09 16:00:00,USA,8,22,p2,p2,87,04d,1016,5,90,4.12,-75.7308,39.5511,Delaware
Gold Beach,2024-03-08 10:00:00,USA,2,5,p2,p2,100,01n,1024,2,50,6.69,-124.42177,42.40733,Oregon
Franklin,2024-03-09 11:00:00,USA,3,8,p2,p2,87,01n,1023,-6,78,0.89,-111.80916,42.013333,Idaho
El Mirage,2024-03-09 10:00:00,USA,8,24,p2,p2,88,01n,1020,11,340,2.57,-112.3246,33.61309,Arizona
Wellington,2024-03-09 08:00:00,USA,4,11,p2,p2,90,01n,1028,-5,315,1.91,-105.00859,40.70387,Colorado
Citrus Heights,2024-03-07 18:00:00,USA,11,30,p2,p2,82,04d,1015,11,310,3.6,-121.28106,38.70712,California
Incline Village,2024-03-09 10:00:00,USA,3,9,p2,p2,78,01n,1021,-1,96,0.89,-119.9564,39.2517,Nevada
Glenwood Springs,2024-03-09 16:00:00,USA,1,4,p2,p2,70,01d,1025,0,210,2.06,-107.32478,39.55054,Colorado
Spearfish,2024-03-07 18:00:00,USA,8,23,p2,p2,69,04d,1015,-1,100,4.12,-103.85937,44.49082,South Dakota
Spearfish,2024-03-09 09:00:00,USA,1,4,p2,p2,39,01n,1020,0,247,3.13,-103.85937,44.49082,South Dakota
Saint Joseph,2024-03-09 16:00:00,USA,11,19,p1,p2,66,01d,1022,4,340,3.09,-94.858299,39.741699,Missouri
Hayden,2024-03-08 10:00:00,USA,3,7,p2,p2,100,13n,1015,-1,280,3.09,-107.25729,40.49529,Colorado
Sioux Falls,2024-03-08 09:00:00,USA,5,14,p2,p2,63,04n,1021,-1,20,4.63,-96.700768,43.54792,South Dakota
Mount Pleasant,2024-03-08 11:00:00,USA,9,25,p2,p2,82,04n,1016,5,120,4.63,-87.85577,42.69743,Wisconsin
Oak Creek,2024-03-08 11:00:00,USA,14,42,p2,p2,87,04n,1016,5,120,4.63,-87.86314,42.88585,Wisconsin
Ivins,2024-03-08 08:00:00,USA,3,8,p2,p2,69,03n,1016,6,88,1.34,-113.67941,37.16859,Utah
East Chicago,2024-03-08 11:00:00,USA,17,49,p2,p2,90,10n,1015,7,100,2.57,-87.474442,41.585278,Indiana
Gulfport,2024-03-08 08:00:00,USA,6,16,p2,p2,88,01n,1011,18,110,3.6,-89.0497,30.39,Mississippi
Newport,2024-03-09 09:00:00,USA,4,11,p2,p2,95,50n,999,13,180,4.12,-84.49578,39.09145,Kentucky
West Hattiesburg,2024-03-08 11:00:00,USA,9,26,p2,p2,96,03n,1010,15,130,4.63,-89.37506,31.31906,Mississippi
Molino,2024-03-08 09:00:00,USA,10,29,p2,p2,89,04n,1013,15,109,2.32,-87.31414,30.72408,Florida
Remington,2024-03-08 11:00:00,USA,8,12,o3,p2,91,01n,1024,5,30,1.54,-77.767799,38.474998,Virginia
Presquille,2024-03-08 08:00:00,USA,1,3,p2,p2,91,04n,1010,20,110,3.6,-90.687988,29.570116,Louisiana
Michigan City,2024-03-08 10:00:00,USA,16,46,p2,p2,89,04n,1016,6,100,2.57,-86.9075,41.7169,Indiana
Uniontown,2024-03-09 11:00:00,USA,2,5,p2,p2,48,04n,1009,9,183,2.24,-79.71643,39.90008,Pennsylvania
Basin City,2024-03-07 17:00:00,USA,5,16,p2,p2,65,02d,1022,3,201,1.43,-119.15223,46.59403,Washington
Stigler,2024-03-09 16:00:00,USA,8,24,p2,p2,61,01d,1022,8,320,5.66,-95.12302,35.25371,Oklahoma
Springdale,2024-03-09 10:00:00,USA,6,18,p2,p2,93,10n,1018,3,343,4.31,-94.1167,36.1797,Arkansas
Fort Smith,2024-03-09 10:00:00,USA,5,15,p2,p2,85,10n,1017,6,320,5.14,-94.39855,35.38592,Arkansas
Pocatello,2024-03-09 10:00:00,USA,11,29,p1,p2,77,01n,1028,-10,20,2.06,-112.460297,42.876701,Idaho
Medina,2024-03-08 07:00:00,USA,9,27,p2,p2,89,04n,1019,7,113,1.79,-81.9239,41.0604,Ohio
Medina,2024-03-09 10:00:00,USA,3,9,p2,p2,94,10n,1006,11,180,3.13,-81.9239,41.0604,Ohio
Hanahan,2024-03-09 09:00:00,USA,4,10,p2,p2,96,10n,1013,16,110,5.14,-80.02203,32.91851,South Carolina
Enfield,2024-03-08 10:00:00,USA,1,3,p2,p2,84,02n,1023,1,10,4.63,-72.59176,41.97621,Connecticut
Waikoloa,2024-03-08 11:00:00,USA,2,6,p2,p2,97,04n,1020,19,52,3.83,-155.78931,19.93942,Hawaii
Muskegon,2024-03-09 11:00:00,USA,23,29,o3,o3,91,13n,1009,1,334,8.03,-86.3111,43.2781,Michigan
Mountain Brook,2024-03-08 09:00:00,USA,8,23,p2,p2,74,04n,1012,15,64,1.34,-86.75221,33.50094,Alabama
Waterford,2024-03-08 07:00:00,USA,3,9,p2,p2,73,01n,1021,5,20,6.69,-72.13597,41.3417,Connecticut
Waveland,2024-03-08 07:00:00,USA,6,16,p2,p2,95,04n,1012,17,121,2.93,-89.395798,30.3008,Mississippi
Waveland,2024-03-08 10:00:00,USA,6,16,p2,p2,94,04n,1011,18,119,3.81,-89.395798,30.3008,Mississippi
West Saint Paul,2024-03-08 07:00:00,USA,7,20,p2,p2,53,02n,1020,-1,350,5.66,-93.122546,44.930604,Minnesota
Blaine,2024-03-09 09:00:00,USA,3,9,p2,p2,78,02n,1033,-9,22,3.16,-113.9804,43.41233,Idaho
Kalispell,2024-03-07 18:00:00,USA,8,22,p2,p2,69,01d,1018,-1,60,2.06,-114.305557,48.202499,Montana
Carlisle,2024-03-08 09:00:00,USA,2,6,p2,p2,77,01n,1021,1,360,4.12,-71.3495,42.52926,Massachusetts
White Bear Lake,2024-03-08 09:00:00,USA,7,20,p2,p2,64,01n,1021,-3,350,4.12,-93.00994,45.08469,Minnesota
Polson,2024-03-08 11:00:00,USA,3,10,p2,p2,78,03n,1030,-8,131,2.29,-114.0122,47.6925,Montana
Duncanville,2024-03-09 09:00:00,USA,2,5,p2,p2,98,04n,1007,15,297,2.96,-87.4597,33.0894,Alabama
D'Iberville,2024-03-07 18:00:00,USA,10,28,p2,p2,60,02d,1014,23,140,6.17,-88.89086,30.42631,Mississippi
Gadsden,2024-03-09 08:00:00,USA,1,2,p2,p2,98,04n,988,15,60,1.54,-85.992653,33.991341,Alabama
Madisonville,2024-03-08 07:00:00,USA,19,25,o3,o3,85,04n,1011,17,123,3.16,-90.1997,30.4293,Louisiana
Hernando,2024-03-08 07:00:00,USA,15,43,p2,p2,93,04n,1012,16,126,2.33,-89.9889,34.8275,Mississippi
Hernando,2024-03-08 10:00:00,USA,13,37,p2,p2,93,10n,1011,16,145,2.31,-89.9889,34.8275,Mississippi
Bangor,2024-03-08 10:00:00,USA,5,14,p2,p2,82,01n,1023,-1,10,7.2,-68.769676,44.798859,Maine
Troy,2024-03-09 11:00:00,USA,5,15,p2,p2,78,01n,1021,-2,0,0.0,-95.08997,39.78305,Kansas
Wenden,2024-03-08 07:00:00,USA,2,5,p2,p2,62,04n,1013,10,99,1.89,-113.558611,34.243889,Arizona
Carbondale,2024-03-08 07:00:00,USA,2,5,p2,p2,83,04n,1013,0,0,0.0,-107.21116,39.40221,Colorado
Jackson,2024-03-08 08:00:00,USA,14,40,p2,p2,93,50n,1018,4,120,1.54,-84.40135,42.24587,Michigan
Jackson,2024-03-08 11:00:00,USA,8,19,p1,p2,76,04n,1008,17,140,5.14,-90.182722,32.329111,Mississippi
Monroe,2024-03-08 07:00:00,USA,17,22,o3,o3,70,04n,1009,20,0,2.57,-92.046097,32.509701,Louisiana
Monroe,2024-03-08 10:00:00,USA,9,26,p2,p2,99,02n,1025,0,149,0.35,-76.512726,41.705226,Pennsylvania
Middletown,2024-03-08 08:00:00,USA,18,22,p1,p2,92,04n,1015,7,320,2.06,-84.407675,39.478849,Ohio
Brookside,2024-03-08 10:00:00,USA,4,11,p2,p2,83,01n,1024,5,30,3.6,-75.761845,39.655167,Delaware
Warren,2024-03-09 11:00:00,USA,7,18,p1,p2,85,10n,1007,10,160,6.69,-80.801914,41.231167,Ohio
Durant,2024-03-08 07:00:00,USA,2,5,p2,p2,89,04n,1008,14,0,0.0,-96.405636,33.945167,Oklahoma
Greenup,2024-03-09 09:00:00,USA,5,11,p1,p2,95,10n,1009,11,110,1.54,-82.83017,38.57313,Kentucky
Bountiful,2024-03-08 11:00:00,USA,5,14,p2,p2,82,02n,1021,-3,320,3.09,-111.885498,40.897999,Utah
Star,2024-03-08 09:00:00,USA,4,10,p2,p2,86,01n,1026,-3,130,2.06,-116.49346,43.69211,Idaho
Brownell,2024-03-09 11:00:00,USA,6,16,p2,p2,84,03n,1027,-4,316,3.41,-99.7636,38.7703,Kansas
Cleveland,2024-03-09 09:00:00,USA,8,24,p2,p2,92,04n,1011,13,343,5.58,-90.7275,33.7556,Mississippi
Stanton,2024-03-08 10:00:00,USA,12,35,p2,p2,93,10n,1015,0,10,10.29,-95.044998,40.970001,Iowa
Stanton,2024-03-09 11:00:00,USA,4,12,p2,p2,80,01n,1021,-3,0,0.0,-95.044998,40.970001,Iowa
Loyola,2024-03-09 11:00:00,USA,3,8,p2,p2,88,04n,1021,6,230,2.06,-122.098645,37.298008,California
Kansas City,2024-03-09 10:00:00,USA,9,25,p2,p2,75,01n,1020,0,340,2.57,-94.6356,39.1175,Kansas
Rock Hill,2024-03-09 09:00:00,USA,3,10,p2,p2,71,10n,1012,11,0,2.06,-81.02508,34.92487,South Carolina
Bethel,2024-03-08 08:00:00,USA,0,1,p2,p2,92,04n,1006,-10,320,5.14,-161.75583,60.79222,Alaska
Wilmington,2024-03-09 09:00:00,USA,3,9,p2,p2,92,04n,1011,3,342,4.02,-88.1906,41.2222,Illinois
Hazard,2024-03-09 09:00:00,USA,6,17,p2,p2,91,04n,1008,10,169,4.67,-83.2203,37.2831,Kentucky
Midway,2024-03-09 10:00:00,USA,5,14,p2,p2,83,01n,1018,-7,91,0.89,-111.49002,40.533266,Utah
Brookings,2024-03-09 16:00:00,USA,9,17,p1,p2,71,01d,1020,-2,20,4.12,-96.807299,44.348604,South Dakota
Wilson,2024-03-08 10:00:00,USA,29,38,o3,o3,92,01n,1020,-15,20,4.63,-110.87521,43.50076,Wyoming
Velva,2024-03-08 10:00:00,USA,14,41,p2,p2,95,02n,1030,-14,267,1.26,-100.92932,48.05612,North Dakota
